작업순번,구분,주소시작,주소끝,슬롯,문자열,바이트,길이,색상,빨강색보존,메모
327,문자,0x995F,0x9960,255,있,F0 DE,2,e9ae2b,N,"행 추가/삭제 반영 재계산: 주황색 대화체 발화용 문자행, 패치 KANJI1 발화체 토큰."
328,문자,0x9961,0x9962,256,었,00 7E,2,e9ae2b,N,"행 추가/삭제 반영 재계산: 주황색 대화체 발화용 문자행, 패치 KANJI1 발화체 토큰."
329,문자,0x9963,0x9964,257,다,C0 27,2,e9ae2b,N,"행 추가/삭제 반영 재계산: 주황색 대화체 발화용 문자행, 패치 KANJI1 발화체 토큰."
330,문자,0x9965,0x9966,258,고,80 20,2,e9ae2b,N,"행 추가/삭제 반영 재계산: 주황색 대화체 발화용 문자행, 패치 KANJI1 발화체 토큰."
331,문자,0x9967,0x9968,259,␠,18 12,2,e2f0d9,N,행 추가/삭제 반영 재계산: 전각 공백 토큰 18 12.
332,문자,0x9969,0x996A,260,해,B0 E3,2,e9ae2b,N,"행 추가/삭제 반영 재계산: 주황색 대화체 발화용 문자행, 패치 KANJI1 발화체 토큰."
333,문자,0x996B,0x996C,261,도,20 2E,2,e9ae2b,N,"행 추가/삭제 반영 재계산: 주황색 대화체 발화용 문자행, 패치 KANJI1 발화체 토큰."
334,문자,0x996D,0x996E,262,・,60 12,2,e2f0d9,N,행 추가/삭제 반영 재계산: PC-88 문장부호 토큰.
335,문자,0x996F,0x9970,263,・,60 12,2,e2f0d9,N,행 추가/삭제 반영 재계산: PC-88 문장부호 토큰.
336,문자,0x9971,0x9972,264,・,60 12,2,e2f0d9,N,행 추가/삭제 반영 재계산: PC-88 문장부호 토큰.
337,제어,0x9973,0x9976,,,12 00 21 00,4,fce4d6,N,행 추가/삭제 반영 재계산: HL=0x9973→0x9977. 제어토큰 기존 바이트 유지.
338,문자,0x9977,0x9978,265,␠,18 12,2,e2f0d9,N,행 추가/삭제 반영 재계산: 전각 공백 토큰 18 12.
339,문자,0x9979,0x997A,266,난,C0 24,2,e9ae2b,N,"행 추가/삭제 반영 재계산: 주황색 대화체 발화용 문자행, 패치 KANJI1 발화체 토큰."
340,문자,0x997B,0x997C,267,␠,18 12,2,e2f0d9,N,행 추가/삭제 반영 재계산: 전각 공백 토큰 18 12.
341,문자,0x997D,0x997E,268,친,B0 E1,2,e9ae2b,N,"행 추가/삭제 반영 재계산: 주황색 대화체 발화용 문자행, 패치 KANJI1 발화체 토큰."
342,문자,0x997F,0x9980,269,구,00 21,2,e9ae2b,N,"행 추가/삭제 반영 재계산: 주황색 대화체 발화용 문자행, 패치 KANJI1 발화체 토큰."
343,문자,0x9981,0x9982,270,라,F0 30,2,e9ae2b,N,"행 추가/삭제 반영 재계산: 주황색 대화체 발화용 문자행, 패치 KANJI1 발화체 토큰."
344,문자,0x9983,0x9984,271,고,80 20,2,e9ae2b,N,"행 추가/삭제 반영 재계산: 주황색 대화체 발화용 문자행, 패치 KANJI1 발화체 토큰."
345,문자,0x9985,0x9986,272,␠,18 12,2,e2f0d9,N,행 추가/삭제 반영 재계산: 전각 공백 토큰 18 12.
346,문자,0x9987,0x9988,273,생,40 3D,2,e9ae2b,N,"행 추가/삭제 반영 재계산: 주황색 대화체 발화용 문자행, 패치 KANJI1 발화체 토큰."
347,문자,0x9989,0x998A,274,각,B0 17,2,e9ae2b,N,"행 추가/삭제 반영 재계산: 주황색 대화체 발화용 문자행, 패치 KANJI1 발화체 토큰."
348,문자,0x998B,0x998C,275,해,B0 E3,2,e9ae2b,N,"행 추가/삭제 반영 재계산: 주황색 대화체 발화용 문자행, 패치 KANJI1 발화체 토큰."
349,문자,0x998D,0x998E,276,！,A0 12,2,e2f0d9,N,행 추가/삭제 반영 재계산: PC-88 문장부호 토큰.
350,제어,0x998F,0x9990,,,15 00,2,fce4d6,N,행 추가/삭제 반영 재계산: HL=0x998F→0x9991. 제어토큰 기존 바이트 유지.
351,문자,0x9991,0x9992,277,레,A0 31,2,e9ae2b,N,"행 추가/삭제 반영 재계산: 주황색 대화체 발화용 문자행, 패치 KANJI1 발화체 토큰."
352,문자,0x9993,0x9994,278,이,90 DE,2,e9ae2b,N,"행 추가/삭제 반영 재계산: 주황색 대화체 발화용 문자행, 패치 KANJI1 발화체 토큰."
353,문자,0x9995,0x9996,279,코,10 E2,2,e9ae2b,N,"행 추가/삭제 반영 재계산: 주황색 대화체 발화용 문자행, 패치 KANJI1 발화체 토큰."
354,문자,0x9997,0x9998,280,、,20 12,2,e2f0d9,N,행 추가/삭제 반영 재계산: PC-88 문장부호 토큰.
355,문자,0x9999,0x999A,281,뭘,40 39,2,e9ae2b,N,"행 추가/삭제 반영 재계산: 주황색 대화체 발화용 문자행, 패치 KANJI1 발화체 토큰."
356,문자,0x999B,0x999C,282,␠,18 12,2,e2f0d9,N,행 추가/삭제 반영 재계산: 전각 공백 토큰 18 12.
357,문자,0x999D,0x999E,283,숨,50 3F,2,e9ae2b,N,"행 추가/삭제 반영 재계산: 주황색 대화체 발화용 문자행, 패치 KANJI1 발화체 토큰."
358,문자,0x999F,0x99A0,284,기,B0 21,2,e9ae2b,N,"행 추가/삭제 반영 재계산: 주황색 대화체 발화용 문자행, 패치 KANJI1 발화체 토큰."
359,문자,0x99A1,0x99A2,285,고,80 20,2,e9ae2b,N,"행 추가/삭제 반영 재계산: 주황색 대화체 발화용 문자행, 패치 KANJI1 발화체 토큰."
360,문자,0x99A3,0x99A4,286,␠,18 12,2,e2f0d9,N,행 추가/삭제 반영 재계산: 전각 공백 토큰 18 12.
361,문자,0x99A5,0x99A6,287,있,F0 DE,2,e9ae2b,N,"행 추가/삭제 반영 재계산: 주황색 대화체 발화용 문자행, 패치 KANJI1 발화체 토큰."
362,문자,0x99A7,0x99A8,288,는,E0 25,2,e9ae2b,N,"행 추가/삭제 반영 재계산: 주황색 대화체 발화용 문자행, 패치 KANJI1 발화체 토큰."
363,문자,0x99A9,0x99AA,289,␠,18 12,2,e2f0d9,N,행 추가/삭제 반영 재계산: 전각 공백 토큰 18 12.
364,문자,0x99AB,0x99AC,290,거,90 1D,2,e9ae2b,N,"행 추가/삭제 반영 재계산: 주황색 대화체 발화용 문자행, 패치 KANJI1 발화체 토큰."
365,문자,0x99AD,0x99AE,291,야,00 6C,2,e9ae2b,N,"행 추가/삭제 반영 재계산: 주황색 대화체 발화용 문자행, 패치 KANJI1 발화체 토큰."
366,문자,0x99AF,0x99B0,292,？,90 12,2,e2f0d9,N,행 추가/삭제 반영 재계산: PC-88 문장부호 토큰.
367,제어,0x99B1,0x99B4,,,12 00 23 00,4,fce4d6,N,행 추가/삭제 반영 재계산: HL=0x99B1→0x99B5. 제어토큰 기존 바이트 유지.
368,문자,0x99B5,0x99B6,293,␠,18 12,2,e2f0d9,N,행 추가/삭제 반영 재계산: 전각 공백 토큰 18 12.
369,문자,0x99B7,0x99B8,294,왜,F0 C5,2,e9ae2b,N,"행 추가/삭제 반영 재계산: 주황색 대화체 발화용 문자행, 패치 KANJI1 발화체 토큰."
370,제어,0x99B9,0x99BC,,,12 00 21 00,4,fce4d6,N,행 추가/삭제 반영 재계산: HL=0x99B9→0x99BD. 제어토큰 기존 바이트 유지.
371,문자,0x99BD,0x99BE,295,␠,18 12,2,e2f0d9,N,행 추가/삭제 반영 재계산: 전각 공백 토큰 18 12.
372,문자,0x99BF,0x99C0,296,사,E0 3C,2,e9ae2b,N,"행 추가/삭제 반영 재계산: 주황색 대화체 발화용 문자행, 패치 KANJI1 발화체 토큰."
373,문자,0x99C1,0x99C2,297,실,E0 3F,2,e9ae2b,N,"행 추가/삭제 반영 재계산: 주황색 대화체 발화용 문자행, 패치 KANJI1 발화체 토큰."
374,문자,0x99C3,0x99C4,298,대,B0 2D,2,e9ae2b,N,"행 추가/삭제 반영 재계산: 주황색 대화체 발화용 문자행, 패치 KANJI1 발화체 토큰."
375,문자,0x99C5,0x99C6,299,로,D0 31,2,e9ae2b,N,"행 추가/삭제 반영 재계산: 주황색 대화체 발화용 문자행, 패치 KANJI1 발화체 토큰."
376,문자,0x99C7,0x99C8,300,␠,18 12,2,e2f0d9,N,행 추가/삭제 반영 재계산: 전각 공백 토큰 18 12.
377,문자,0x99C9,0x99CA,301,말,F0 34,2,e9ae2b,N,"행 추가/삭제 반영 재계산: 주황색 대화체 발화용 문자행, 패치 KANJI1 발화체 토큰."
378,문자,0x99CB,0x99CC,302,해,B0 E3,2,e9ae2b,N,"행 추가/삭제 반영 재계산: 주황색 대화체 발화용 문자행, 패치 KANJI1 발화체 토큰."
379,문자,0x99CD,0x99CE,303,주,F0 F5,2,e9ae2b,N,"행 추가/삭제 반영 재계산: 주황색 대화체 발화용 문자행, 패치 KANJI1 발화체 토큰."
380,문자,0x99CF,0x99D0,304,지,10 E0,2,e9ae2b,N,"행 추가/삭제 반영 재계산: 주황색 대화체 발화용 문자행, 패치 KANJI1 발화체 토큰."
381,문자,0x99D1,0x99D2,305,␠,18 12,2,e2f0d9,N,행 추가/삭제 반영 재계산: 전각 공백 토큰 18 12.
382,문자,0x99D3,0x99D4,306,않,00 5E,2,e9ae2b,N,"행 추가/삭제 반영 재계산: 주황색 대화체 발화용 문자행, 패치 KANJI1 발화체 토큰."
383,문자,0x99D5,0x99D6,307,는,E0 25,2,e9ae2b,N,"행 추가/삭제 반영 재계산: 주황색 대화체 발화용 문자행, 패치 KANJI1 발화체 토큰."
384,문자,0x99D7,0x99D8,308,␠,18 12,2,e2f0d9,N,행 추가/삭제 반영 재계산: 전각 공백 토큰 18 12.
385,문자,0x99D9,0x99DA,309,거,90 1D,2,e9ae2b,N,"행 추가/삭제 반영 재계산: 주황색 대화체 발화용 문자행, 패치 KANJI1 발화체 토큰."
386,문자,0x99DB,0x99DC,310,야,00 6C,2,e9ae2b,N,"행 추가/삭제 반영 재계산: 주황색 대화체 발화용 문자행, 패치 KANJI1 발화체 토큰."
387,문자,0x99DD,0x99DE,311,！,A0 12,2,e2f0d9,N,행 추가/삭제 반영 재계산: PC-88 문장부호 토큰.
388,제어,0x99DF,0x99E3,,,12 00 23 21 00,5,fce4d6,N,행 추가/삭제 반영 재계산: HL=0x99DF→0x99E4. 제어토큰 기존 바이트 유지.
389,문자,0x99E4,0x99E5,312,？,90 12,2,e2f0d9,N,행 추가/삭제 반영 재계산: PC-88 문장부호 토큰.
390,제어,0x99E6,0x99E8,,,19 00 7D,3,fce4d6,N,행 추가/삭제 반영 재계산: HL=0x99E6→0x99E9. 제어토큰 기존 바이트 유지.
391,제어,0x99E9,0x99EA,,,15 00,2,fce4d6,N,행 추가/삭제 반영 재계산: HL=0x99E9→0x99EB. 제어토큰 기존 바이트 유지.
392,제어,0x99EB,0x99EC,,,17 00,2,fce4d6,N,행 추가/삭제 반영 재계산: HL=0x99EB→0x99ED. 제어토큰 기존 바이트 유지.
393,제어,0x99ED,0x99EF,,,1A 00 04,3,fce4d6,N,행 추가/삭제 반영 재계산: HL=0x99ED→0x99F0. 제어토큰 기존 바이트 유지.
394,제어,0x99F0,0x99F1,,,16 00,2,fce4d6,N,행 추가/삭제 반영 재계산: HL=0x99F0→0x99F2. 제어토큰 기존 바이트 유지.
395,문자,0x99F2,0x99F3,313,・,60 12,2,e2f0d9,N,행 추가/삭제 반영 재계산: PC-88 문장부호 토큰.
396,제어,0x99F4,0x99F7,,,12 00 23 00,4,fce4d6,N,행 추가/삭제 반영 재계산: HL=0x99F4→0x99F8. 제어토큰 기존 바이트 유지.
397,문자,0x99F8,0x99F9,314,・,60 12,2,e2f0d9,N,행 추가/삭제 반영 재계산: PC-88 문장부호 토큰.
398,문자,0x99FA,0x99FB,315,・,60 12,2,e2f0d9,N,행 추가/삭제 반영 재계산: PC-88 문장부호 토큰.
399,제어,0x99FC,0x99FD,,,15 00,2,fce4d6,N,행 추가/삭제 반영 재계산: HL=0x99FC→0x99FE. 제어토큰 기존 바이트 유지.
400,문자,0x99FE,0x99FF,316,・,60 12,2,e2f0d9,N,행 추가/삭제 반영 재계산: PC-88 문장부호 토큰.
401,제어,0x9A00,0x9A03,,,12 00 21 00,4,fce4d6,N,행 추가/삭제 반영 재계산: HL=0x9A00→0x9A04. 제어토큰 기존 바이트 유지.
402,문자,0x9A04,0x9A05,317,・,60 12,2,e2f0d9,N,행 추가/삭제 반영 재계산: PC-88 문장부호 토큰.
403,문자,0x9A06,0x9A07,318,・,60 12,2,e2f0d9,N,행 추가/삭제 반영 재계산: PC-88 문장부호 토큰.
404,문자,0x9A08,0x9A09,319,유,20 DE,2,e9ae2b,N,"행 추가/삭제 반영 재계산: 주황색 대화체 발화용 문자행, 패치 KANJI1 발화체 토큰."
405,문자,0x9A0A,0x9A0B,320,코,10 E2,2,e9ae2b,N,"행 추가/삭제 반영 재계산: 주황색 대화체 발화용 문자행, 패치 KANJI1 발화체 토큰."
406,문자,0x9A0C,0x9A0D,321,의,80 DE,2,e9ae2b,N,"행 추가/삭제 반영 재계산: 주황색 대화체 발화용 문자행, 패치 KANJI1 발화체 토큰."
407,문자,0x9A0E,0x9A0F,322,␠,18 12,2,e2f0d9,N,행 추가/삭제 반영 재계산: 전각 공백 토큰 18 12.
408,문자,0x9A10,0x9A11,323,부,00 3C,2,e9ae2b,N,"행 추가/삭제 반영 재계산: 주황색 대화체 발화용 문자행, 패치 KANJI1 발화체 토큰."
409,문자,0x9A12,0x9A13,324,모,A0 35,2,e9ae2b,N,"행 추가/삭제 반영 재계산: 주황색 대화체 발화용 문자행, 패치 KANJI1 발화체 토큰."
410,문자,0x9A14,0x9A15,325,님,00 26,2,e9ae2b,N,"행 추가/삭제 반영 재계산: 주황색 대화체 발화용 문자행, 패치 KANJI1 발화체 토큰."
411,문자,0x9A16,0x9A17,326,은,40 DE,2,e9ae2b,N,"행 추가/삭제 반영 재계산: 주황색 대화체 발화용 문자행, 패치 KANJI1 발화체 토큰."
412,문자,0x9A18,0x9A19,327,␠,18 12,2,e2f0d9,N,행 추가/삭제 반영 재계산: 전각 공백 토큰 18 12.
413,문자,0x9A1A,0x9A1B,328,사,E0 3C,2,e9ae2b,N,"행 추가/삭제 반영 재계산: 주황색 대화체 발화용 문자행, 패치 KANJI1 발화체 토큰."
414,문자,0x9A1C,0x9A1D,329,이,90 DE,2,e9ae2b,N,"행 추가/삭제 반영 재계산: 주황색 대화체 발화용 문자행, 패치 KANJI1 발화체 토큰."
415,문자,0x9A1E,0x9A1F,330,가,A0 17,2,e9ae2b,N,"행 추가/삭제 반영 재계산: 주황색 대화체 발화용 문자행, 패치 KANJI1 발화체 토큰."
416,문자,0x9A20,0x9A21,331,␠,18 12,2,e2f0d9,N,행 추가/삭제 반영 재계산: 전각 공백 토큰 18 12.
417,문자,0x9A22,0x9A23,332,좋,F0 F3,2,e9ae2b,N,"행 추가/삭제 반영 재계산: 주황색 대화체 발화용 문자행, 패치 KANJI1 발화체 토큰."
418,문자,0x9A24,0x9A25,333,아,00 56,2,e9ae2b,N,"행 추가/삭제 반영 재계산: 주황색 대화체 발화용 문자행, 패치 KANJI1 발화체 토큰."
419,문자,0x9A26,0x9A27,334,？,90 12,2,e2f0d9,N,행 추가/삭제 반영 재계산: PC-88 문장부호 토큰.
420,제어,0x9A28,0x9A2A,,,19 00 7E,3,fce4d6,N,행 추가/삭제 반영 재계산: HL=0x9A28→0x9A2B. 제어토큰 기존 바이트 유지.
421,제어,0x9A2B,0x9A2C,,,15 00,2,fce4d6,N,행 추가/삭제 반영 재계산: HL=0x9A2B→0x9A2D. 제어토큰 기존 바이트 유지.
422,제어,0x9A2D,0x9A2E,,,17 00,2,fce4d6,N,행 추가/삭제 반영 재계산: HL=0x9A2D→0x9A2F. 제어토큰 기존 바이트 유지.
423,제어,0x9A2F,0x9A33,,,14 00 00 40 80,5,fce4d6,N,행 추가/삭제 반영 재계산: HL=0x9A2F→0x9A34. 제어토큰 기존 바이트 유지.
424,제어,0x9A34,0x9A36,,,1A 00 04,3,fce4d6,N,행 추가/삭제 반영 재계산: HL=0x9A34→0x9A37. 제어토큰 기존 바이트 유지.
425,제어,0x9A37,0x9A38,,,16 00,2,fce4d6,N,행 추가/삭제 반영 재계산: HL=0x9A37→0x9A39. 제어토큰 기존 바이트 유지.
426,문자,0x9A39,0x9A3A,335,뭐,E0 37,2,e9ae2b,N,"행 추가/삭제 반영 재계산: 주황색 대화체 발화용 문자행, 패치 KANJI1 발화체 토큰."
427,문자,0x9A3B,0x9A3C,336,？,90 12,2,e2f0d9,N,행 추가/삭제 반영 재계산: PC-88 문장부호 토큰.
428,문자,0x9A3D,0x9A3E,337,␠,18 12,2,e2f0d9,N,행 추가/삭제 반영 재계산: 전각 공백 토큰 18 12.
429,문자,0x9A3F,0x9A40,338,・,60 12,2,e2f0d9,N,행 추가/삭제 반영 재계산: PC-88 문장부호 토큰.
430,제어,0x9A41,0x9A45,,,12 00 23 21 00,5,fce4d6,N,행 추가/삭제 반영 재계산: HL=0x9A41→0x9A46. 제어토큰 기존 바이트 유지.
431,문자,0x9A46,0x9A47,339,・,60 12,2,e2f0d9,N,행 추가/삭제 반영 재계산: PC-88 문장부호 토큰.
432,제어,0x9A48,0x9A4C,,,12 00 23 21 00,5,fce4d6,N,행 추가/삭제 반영 재계산: HL=0x9A48→0x9A4D. 제어토큰 기존 바이트 유지.
433,문자,0x9A4D,0x9A4E,340,・,60 12,2,e2f0d9,N,행 추가/삭제 반영 재계산: PC-88 문장부호 토큰.
434,문자,0x9A4F,0x9A50,341,좋,F0 F3,2,e9ae2b,N,"행 추가/삭제 반영 재계산: 주황색 대화체 발화용 문자행, 패치 KANJI1 발화체 토큰."
435,문자,0x9A51,0x9A52,342,은,40 DE,2,e9ae2b,N,"행 추가/삭제 반영 재계산: 주황색 대화체 발화용 문자행, 패치 KANJI1 발화체 토큰."
436,문자,0x9A53,0x9A54,343,␠,18 12,2,e2f0d9,N,행 추가/삭제 반영 재계산: 전각 공백 토큰 18 12.
437,문자,0x9A55,0x9A56,344,편,F0 E2,2,e9ae2b,N,"행 추가/삭제 반영 재계산: 주황색 대화체 발화용 문자행, 패치 KANJI1 발화체 토큰."
438,문자,0x9A57,0x9A58,345,이,90 DE,2,e9ae2b,N,"행 추가/삭제 반영 재계산: 주황색 대화체 발화용 문자행, 패치 KANJI1 발화체 토큰."
439,문자,0x9A59,0x9A5A,346,야,00 6C,2,e9ae2b,N,"행 추가/삭제 반영 재계산: 주황색 대화체 발화용 문자행, 패치 KANJI1 발화체 토큰."
440,문자,0x9A5B,0x9A5C,347,・,60 12,2,e2f0d9,N,행 추가/삭제 반영 재계산: PC-88 문장부호 토큰.
441,문자,0x9A5D,0x9A5E,348,・,60 12,2,e2f0d9,N,행 추가/삭제 반영 재계산: PC-88 문장부호 토큰.
442,문자,0x9A5F,0x9A60,349,・,60 12,2,e2f0d9,N,행 추가/삭제 반영 재계산: PC-88 문장부호 토큰.
443,제어,0x9A61,0x9A62,,,15 00,2,fce4d6,N,행 추가/삭제 반영 재계산: HL=0x9A61→0x9A63. 제어토큰 기존 바이트 유지.
444,문자,0x9A63,0x9A64,350,너,58 25,2,e0eed1,N,"행 추가/삭제 반영 재계산: 일반 문자행, 같은 glyph base 유지 + 첫 바이트 OR 08h."
445,문자,0x9A65,0x9A66,351,␠,18 12,2,e2f0d9,N,행 추가/삭제 반영 재계산: 전각 공백 토큰 18 12.
446,문자,0x9A67,0x9A68,352,형,48 E4,2,e0eed1,N,"행 추가/삭제 반영 재계산: 일반 문자행, 같은 glyph base 유지 + 첫 바이트 OR 08h."
447,문자,0x9A69,0x9A6A,353,제,F8 E3,2,e0eed1,N,"행 추가/삭제 반영 재계산: 일반 문자행, 같은 glyph base 유지 + 첫 바이트 OR 08h."
448,문자,0x9A6B,0x9A6C,354,가,A8 17,2,e0eed1,N,"행 추가/삭제 반영 재계산: 일반 문자행, 같은 glyph base 유지 + 첫 바이트 OR 08h."
449,문자,0x9A6D,0x9A6E,355,␠,18 12,2,e2f0d9,N,행 추가/삭제 반영 재계산: 전각 공백 토큰 18 12.
450,문자,0x9A6F,0x9A70,356,있,F8 DE,2,e0eed1,N,"행 추가/삭제 반영 재계산: 일반 문자행, 같은 glyph base 유지 + 첫 바이트 OR 08h."
451,문자,0x9A71,0x9A72,357,지,18 E0,2,e0eed1,N,"행 추가/삭제 반영 재계산: 일반 문자행, 같은 glyph base 유지 + 첫 바이트 OR 08h."
452,문자,0x9A73,0x9A74,358,？,90 12,2,e2f0d9,N,행 추가/삭제 반영 재계산: PC-88 문장부호 토큰.
453,문자,0x9A75,0x9A76,359,␠,18 12,2,e2f0d9,N,행 추가/삭제 반영 재계산: 전각 공백 토큰 18 12.
454,문자,0x9A77,0x9A78,360,・,60 12,2,e2f0d9,N,행 추가/삭제 반영 재계산: PC-88 문장부호 토큰.
455,문자,0x9A79,0x9A7A,361,・,60 12,2,e2f0d9,N,행 추가/삭제 반영 재계산: PC-88 문장부호 토큰.
456,제어,0x9A7B,0x9A7F,,,12 00 23 21 00,5,fce4d6,N,행 추가/삭제 반영 재계산: HL=0x9A7B→0x9A80. 제어토큰 기존 바이트 유지.
457,문자,0x9A80,0x9A81,362,・,60 12,2,e2f0d9,N,행 추가/삭제 반영 재계산: PC-88 문장부호 토큰.
458,문자,0x9A82,0x9A83,363,서,58 3D,2,e0eed1,N,"행 추가/삭제 반영 재계산: 일반 문자행, 같은 glyph base 유지 + 첫 바이트 OR 08h."
459,문자,0x9A84,0x9A85,364,로,D8 31,2,e0eed1,N,"행 추가/삭제 반영 재계산: 일반 문자행, 같은 glyph base 유지 + 첫 바이트 OR 08h."
460,문자,0x9A86,0x9A87,365,␠,18 12,2,e2f0d9,N,행 추가/삭제 반영 재계산: 전각 공백 토큰 18 12.
461,문자,0x9A88,0x9A89,366,싸,08 46,2,e0eed1,N,"행 추가/삭제 반영 재계산: 일반 문자행, 같은 glyph base 유지 + 첫 바이트 OR 08h."
462,문자,0x9A8A,0x9A8B,367,우,F8 CD,2,e0eed1,N,"행 추가/삭제 반영 재계산: 일반 문자행, 같은 glyph base 유지 + 첫 바이트 OR 08h."
463,문자,0x9A8C,0x9A8D,368,거,98 1D,2,e0eed1,N,"행 추가/삭제 반영 재계산: 일반 문자행, 같은 glyph base 유지 + 첫 바이트 OR 08h."
464,문자,0x9A8E,0x9A8F,369,나,B8 24,2,e0eed1,N,"행 추가/삭제 반영 재계산: 일반 문자행, 같은 glyph base 유지 + 첫 바이트 OR 08h."
465,문자,0x9A90,0x9A91,370,␠,18 12,2,e2f0d9,N,행 추가/삭제 반영 재계산: 전각 공백 토큰 18 12.
466,문자,0x9A92,0x9A93,371,해,B8 E3,2,e0eed1,N,"행 추가/삭제 반영 재계산: 일반 문자행, 같은 glyph base 유지 + 첫 바이트 OR 08h."
467,문자,0x9A94,0x9A95,372,?,90 12,2,e2f0d9,N,행 추가/삭제 반영 재계산: PC-88 문장부호 토큰.
468,제어,0x9A96,0x9A97,,,15 00,2,fce4d6,N,행 추가/삭제 반영 재계산: HL=0x9A96→0x9A98. 제어토큰 기존 바이트 유지.
469,문자,0x9A98,0x9A99,373,・,60 12,2,e2f0d9,N,행 추가/삭제 반영 재계산: PC-88 문장부호 토큰.
470,문자,0x9A9A,0x9A9B,374,・,60 12,2,e2f0d9,N,행 추가/삭제 반영 재계산: PC-88 문장부호 토큰.
471,문자,0x9A9C,0x9A9D,375,・,60 12,2,e2f0d9,N,행 추가/삭제 반영 재계산: PC-88 문장부호 토큰.
472,제어,0x9A9E,0x9AA2,,,12 00 23 21 00,5,fce4d6,N,행 추가/삭제 반영 재계산: HL=0x9A9E→0x9AA3. 제어토큰 기존 바이트 유지.
473,문자,0x9AA3,0x9AA4,376,응,70 DE,2,e9ae2b,N,"행 추가/삭제 반영 재계산: 주황색 대화체 발화용 문자행, 패치 KANJI1 발화체 토큰."
474,문자,0x9AA5,0x9AA6,377,・,60 12,2,e2f0d9,N,행 추가/삭제 반영 재계산: PC-88 문장부호 토큰.
475,문자,0x9AA7,0x9AA8,378,・,60 12,2,e2f0d9,N,행 추가/삭제 반영 재계산: PC-88 문장부호 토큰.
476,문자,0x9AA9,0x9AAA,379,・,60 12,2,e2f0d9,N,행 추가/삭제 반영 재계산: PC-88 문장부호 토큰.
477,제어,0x9AAB,0x9AAF,,,12 00 23 21 00,5,fce4d6,N,행 추가/삭제 반영 재계산: HL=0x9AAB→0x9AB0. 제어토큰 기존 바이트 유지.
478,문자,0x9AB0,0x9AB1,380,␠,18 12,2,e2f0d9,N,행 추가/삭제 반영 재계산: 전각 공백 토큰 18 12.
479,문자,0x9AB2,0x9AB3,381,가,A0 17,2,e9ae2b,N,"행 추가/삭제 반영 재계산: 주황색 대화체 발화용 문자행, 패치 KANJI1 발화체 토큰."
480,문자,0x9AB4,0x9AB5,382,끔,80 24,2,e9ae2b,N,"행 추가/삭제 반영 재계산: 주황색 대화체 발화용 문자행, 패치 KANJI1 발화체 토큰."
481,문자,0x9AB6,0x9AB7,383,씩,00 52,2,e9ae2b,N,"행 추가/삭제 반영 재계산: 주황색 대화체 발화용 문자행, 패치 KANJI1 발화체 토큰."
482,문자,0x9AB8,0x9AB9,384,␠,18 12,2,e2f0d9,N,행 추가/삭제 반영 재계산: 전각 공백 토큰 18 12.
483,문자,0x9ABA,0x9ABB,385,싸,00 46,2,e9ae2b,N,"행 추가/삭제 반영 재계산: 주황색 대화체 발화용 문자행, 패치 KANJI1 발화체 토큰."
484,문자,0x9ABC,0x9ABD,386,워,F0 D7,2,e9ae2b,N,"행 추가/삭제 반영 재계산: 주황색 대화체 발화용 문자행, 패치 KANJI1 발화체 토큰."
485,문자,0x9ABE,0x9ABF,387,기,B0 21,2,e9ae2b,N,"행 추가/삭제 반영 재계산: 주황색 대화체 발화용 문자행, 패치 KANJI1 발화체 토큰."
486,문자,0x9AC0,0x9AC1,388,도,20 2E,2,e9ae2b,N,"행 추가/삭제 반영 재계산: 주황색 대화체 발화용 문자행, 패치 KANJI1 발화체 토큰."
487,문자,0x9AC2,0x9AC3,389,␠,18 12,2,e2f0d9,N,행 추가/삭제 반영 재계산: 전각 공백 토큰 18 12.
488,문자,0x9AC4,0x9AC5,390,해,B0 E3,2,e9ae2b,N,"행 추가/삭제 반영 재계산: 주황색 대화체 발화용 문자행, 패치 KANJI1 발화체 토큰."
489,문자,0x9AC6,0x9AC7,391,・,60 12,2,e2f0d9,N,행 추가/삭제 반영 재계산: PC-88 문장부호 토큰.
490,문자,0x9AC8,0x9AC9,392,・,60 12,2,e2f0d9,N,행 추가/삭제 반영 재계산: PC-88 문장부호 토큰.
491,문자,0x9ACA,0x9ACB,393,・,60 12,2,e2f0d9,N,행 추가/삭제 반영 재계산: PC-88 문장부호 토큰.
492,문자,0x9ACC,0x9ACD,394,␠,18 12,2,e2f0d9,N,행 추가/삭제 반영 재계산: 전각 공백 토큰 18 12.
493,문자,0x9ACE,0x9ACF,395,레,A0 31,2,e9ae2b,N,"행 추가/삭제 반영 재계산: 주황색 대화체 발화용 문자행, 패치 KANJI1 발화체 토큰."
494,제어,0x9AD0,0x9AD4,,,12 00 23 21 00,5,fce4d6,N,행 추가/삭제 반영 재계산: HL=0x9AD0→0x9AD5. 제어토큰 기존 바이트 유지.
495,문자,0x9AD5,0x9AD6,396,이,90 DE,2,e9ae2b,N,"행 추가/삭제 반영 재계산: 주황색 대화체 발화용 문자행, 패치 KANJI1 발화체 토큰."
496,문자,0x9AD7,0x9AD8,397,코,10 E2,2,e9ae2b,N,"행 추가/삭제 반영 재계산: 주황색 대화체 발화용 문자행, 패치 KANJI1 발화체 토큰."
497,문자,0x9AD9,0x9ADA,398,、,20 12,2,e2f0d9,N,행 추가/삭제 반영 재계산: PC-88 문장부호 토큰.
